Pais ESP,Pais ENG,Año,Grado,Asignatura,Nivel,valor
Argentina,Argentina,2013,3,Lectura,I,38.5
Argentina,Argentina,2013,3,Lectura,II,22.7
Argentina,Argentina,2013,3,Lectura,III,26.7
Argentina,Argentina,2013,3,Lectura,IV,12.2
Argentina,Argentina,2013,3,Matemáticas,I,39
Argentina,Argentina,2013,3,Matemáticas,II,26.3
Argentina,Argentina,2013,3,Matemáticas,III,26.6
Argentina,Argentina,2013,3,Matemáticas,IV,8.1
Argentina,Argentina,2013,6,Ciencias,I,40.1
Argentina,Argentina,2013,6,Ciencias,II,38.8
Argentina,Argentina,2013,6,Ciencias,III,15.3
Argentina,Argentina,2013,6,Ciencias,IV,5.8
Argentina,Argentina,2013,6,Lectura,I,16.7
Argentina,Argentina,2013,6,Lectura,II,50.7
Argentina,Argentina,2013,6,Lectura,III,17.4
Argentina,Argentina,2013,6,Lectura,IV,15.1
Argentina,Argentina,2013,6,Matemáticas,I,36.8
Argentina,Argentina,2013,6,Matemáticas,II,42.5
Argentina,Argentina,2013,6,Matemáticas,III,15.9
Argentina,Argentina,2013,6,Matemáticas,IV,4.8
Argentina,Argentina,2019,3,Lectura,I,46
Argentina,Argentina,2019,3,Lectura,II,17.7
Argentina,Argentina,2019,3,Lectura,III,22.4
Argentina,Argentina,2019,3,Lectura,IV,13.9
Argentina,Argentina,2019,3,Matemáticas,I,48.9
Argentina,Argentina,2019,3,Matemáticas,II,24.5
Argentina,Argentina,2019,3,Matemáticas,III,21.5
Argentina,Argentina,2019,3,Matemáticas,IV,5.1
Argentina,Argentina,2019,6,Ciencias,I,44.3
Argentina,Argentina,2019,6,Ciencias,II,41.6
Argentina,Argentina,2019,6,Ciencias,III,11.6
Argentina,Argentina,2019,6,Ciencias,IV,2.5
Argentina,Argentina,2019,6,Lectura,I,21.9
Argentina,Argentina,2019,6,Lectura,II,46.2
Argentina,Argentina,2019,6,Lectura,III,15.9
Argentina,Argentina,2019,6,Lectura,IV,16
Argentina,Argentina,2019,6,Matemáticas,I,49.9
Argentina,Argentina,2019,6,Matemáticas,II,36.9
Argentina,Argentina,2019,6,Matemáticas,III,11.3
Argentina,Argentina,2019,6,Matemáticas,IV,1.8
Bolivia,Bolivia,2013,3,Lectura,I,
Bolivia,Bolivia,2013,3,Lectura,II,
Bolivia,Bolivia,2013,3,Lectura,III,
Bolivia,Bolivia,2013,3,Lectura,IV,
Bolivia,Bolivia,2013,3,Matemáticas,I,
Bolivia,Bolivia,2013,3,Matemáticas,II,
Bolivia,Bolivia,2013,3,Matemáticas,III,
Bolivia,Bolivia,2013,3,Matemáticas,IV,
Bolivia,Bolivia,2013,6,Ciencias,I,
Bolivia,Bolivia,2013,6,Ciencias,II,
Bolivia,Bolivia,2013,6,Ciencias,III,
Bolivia,Bolivia,2013,6,Ciencias,IV,
Bolivia,Bolivia,2013,6,Lectura,I,
Bolivia,Bolivia,2013,6,Lectura,II,
Bolivia,Bolivia,2013,6,Lectura,III,
Bolivia,Bolivia,2013,6,Lectura,IV,
Bolivia,Bolivia,2013,6,Matemáticas,I,
Bolivia,Bolivia,2013,6,Matemáticas,II,
Bolivia,Bolivia,2013,6,Matemáticas,III,
Bolivia,Bolivia,2013,6,Matemáticas,IV,
Bolivia,Bolivia,2019,3,Lectura,I,
Bolivia,Bolivia,2019,3,Lectura,II,
Bolivia,Bolivia,2019,3,Lectura,III,
Bolivia,Bolivia,2019,3,Lectura,IV,
Bolivia,Bolivia,2019,3,Matemáticas,I,
Bolivia,Bolivia,2019,3,Matemáticas,II,
Bolivia,Bolivia,2019,3,Matemáticas,III,
Bolivia,Bolivia,2019,3,Matemáticas,IV,
Bolivia,Bolivia,2019,6,Ciencias,I,
Bolivia,Bolivia,2019,6,Ciencias,II,
Bolivia,Bolivia,2019,6,Ciencias,III,
Bolivia,Bolivia,2019,6,Ciencias,IV,
Bolivia,Bolivia,2019,6,Lectura,I,
Bolivia,Bolivia,2019,6,Lectura,II,
Bolivia,Bolivia,2019,6,Lectura,III,
Bolivia,Bolivia,2019,6,Lectura,IV,
Bolivia,Bolivia,2019,6,Matemáticas,I,
Bolivia,Bolivia,2019,6,Matemáticas,II,
Bolivia,Bolivia,2019,6,Matemáticas,III,
Bolivia,Bolivia,2019,6,Matemáticas,IV,
Brasil,Brazil,2013,3,Lectura,I,33.7
Brasil,Brazil,2013,3,Lectura,II,21.6
Brasil,Brazil,2013,3,Lectura,III,32
Brasil,Brazil,2013,3,Lectura,IV,12.7
Brasil,Brazil,2013,3,Matemáticas,I,37.5
Brasil,Brazil,2013,3,Matemáticas,II,23.8
Brasil,Brazil,2013,3,Matemáticas,III,26.8
Brasil,Brazil,2013,3,Matemáticas,IV,12
Brasil,Brazil,2013,6,Ciencias,I,37.2
Brasil,Brazil,2013,6,Ciencias,II,42.9
Brasil,Brazil,2013,6,Ciencias,III,15.3
Brasil,Brazil,2013,6,Ciencias,IV,4.6
Brasil,Brazil,2013,6,Lectura,I,11
Brasil,Brazil,2013,6,Lectura,II,52.2
Brasil,Brazil,2013,6,Lectura,III,20.2
Brasil,Brazil,2013,6,Lectura,IV,16.6
Brasil,Brazil,2013,6,Matemáticas,I,39.8
Brasil,Brazil,2013,6,Matemáticas,II,43.5
Brasil,Brazil,2013,6,Matemáticas,III,12.6
Brasil,Brazil,2013,6,Matemáticas,IV,4
Brasil,Brazil,2019,3,Lectura,I,27.6
Brasil,Brazil,2019,3,Lectura,II,15.2
Brasil,Brazil,2019,3,Lectura,III,27.1
Brasil,Brazil,2019,3,Lectura,IV,30.1
Brasil,Brazil,2019,3,Matemáticas,I,31
Brasil,Brazil,2019,3,Matemáticas,II,22.1
Brasil,Brazil,2019,3,Matemáticas,III,28.9
Brasil,Brazil,2019,3,Matemáticas,IV,18
Brasil,Brazil,2019,6,Ciencias,I,31.9
Brasil,Brazil,2019,6,Ciencias,II,42.2
Brasil,Brazil,2019,6,Ciencias,III,17.5
Brasil,Brazil,2019,6,Ciencias,IV,8.4
Brasil,Brazil,2019,6,Lectura,I,12.6
Brasil,Brazil,2019,6,Lectura,II,43.9
