Pais,Country,Indicador,Nivel,Año,valor
Argentina,Argentina,Cobertura absoluta,Primaria,2018,4776452
Argentina,Argentina,Cobertura absoluta,Primaria,2019,4800419
Argentina,Argentina,Cobertura absoluta,Primaria,2020,4803554
Argentina,Argentina,Cobertura absoluta,Primaria,2021,4821380
Argentina,Argentina,Cobertura absoluta,Primaria,2022,
Argentina,Argentina,Cobertura absoluta,Secundaria alta,2018,1830115
Argentina,Argentina,Cobertura absoluta,Secundaria alta,2019,1888458
Argentina,Argentina,Cobertura absoluta,Secundaria alta,2020,1989768
Argentina,Argentina,Cobertura absoluta,Secundaria alta,2021,2207789.42
Argentina,Argentina,Cobertura absoluta,Secundaria alta,2022,
Argentina,Argentina,Cobertura absoluta,Secundaria baja,2018,2752069
Argentina,Argentina,Cobertura absoluta,Secundaria baja,2019,2731542
Argentina,Argentina,Cobertura absoluta,Secundaria baja,2020,2721905
Argentina,Argentina,Cobertura absoluta,Secundaria baja,2021,2689368.58
Argentina,Argentina,Cobertura absoluta,Secundaria baja,2022,
Argentina,Argentina,Cobertura relativa,Primaria,2018,99.36
Argentina,Argentina,Cobertura relativa,Primaria,2019,99.38
Argentina,Argentina,Cobertura relativa,Primaria,2020,99.17
Argentina,Argentina,Cobertura relativa,Primaria,2021,99.21
Argentina,Argentina,Cobertura relativa,Primaria,2022,
Argentina,Argentina,Cobertura relativa,Secundaria alta,2018,90.08
Argentina,Argentina,Cobertura relativa,Secundaria alta,2019,91.39
Argentina,Argentina,Cobertura relativa,Secundaria alta,2020,93.65
Argentina,Argentina,Cobertura relativa,Secundaria alta,2021,96.01
Argentina,Argentina,Cobertura relativa,Secundaria alta,2022,
Argentina,Argentina,Cobertura relativa,Secundaria baja,2018,99.31
Argentina,Argentina,Cobertura relativa,Secundaria baja,2019,99.4
Argentina,Argentina,Cobertura relativa,Secundaria baja,2020,99.29
Argentina,Argentina,Cobertura relativa,Secundaria baja,2021,99.04
Argentina,Argentina,Cobertura relativa,Secundaria baja,2022,
Bolivia,Bolivia,Cobertura absoluta,Primaria,2018,
Bolivia,Bolivia,Cobertura absoluta,Primaria,2019,
Bolivia,Bolivia,Cobertura absoluta,Primaria,2020,
Bolivia,Bolivia,Cobertura absoluta,Primaria,2021,
Bolivia,Bolivia,Cobertura absoluta,Primaria,2022,
Bolivia,Bolivia,Cobertura absoluta,Secundaria alta,2018,
Bolivia,Bolivia,Cobertura absoluta,Secundaria alta,2019,
Bolivia,Bolivia,Cobertura absoluta,Secundaria alta,2020,
Bolivia,Bolivia,Cobertura absoluta,Secundaria alta,2021,
Bolivia,Bolivia,Cobertura absoluta,Secundaria alta,2022,
Bolivia,Bolivia,Cobertura absoluta,Secundaria baja,2018,
Bolivia,Bolivia,Cobertura absoluta,Secundaria baja,2019,
Bolivia,Bolivia,Cobertura absoluta,Secundaria baja,2020,
Bolivia,Bolivia,Cobertura absoluta,Secundaria baja,2021,
Bolivia,Bolivia,Cobertura absoluta,Secundaria baja,2022,
Bolivia,Bolivia,Cobertura relativa,Primaria,2018,
Bolivia,Bolivia,Cobertura relativa,Primaria,2019,
Bolivia,Bolivia,Cobertura relativa,Primaria,2020,
Bolivia,Bolivia,Cobertura relativa,Primaria,2021,
Bolivia,Bolivia,Cobertura relativa,Primaria,2022,
Bolivia,Bolivia,Cobertura relativa,Secundaria alta,2018,
Bolivia,Bolivia,Cobertura relativa,Secundaria alta,2019,
Bolivia,Bolivia,Cobertura relativa,Secundaria alta,2020,
Bolivia,Bolivia,Cobertura relativa,Secundaria alta,2021,
Bolivia,Bolivia,Cobertura relativa,Secundaria alta,2022,
Bolivia,Bolivia,Cobertura relativa,Secundaria baja,2018,
Bolivia,Bolivia,Cobertura relativa,Secundaria baja,2019,
Bolivia,Bolivia,Cobertura relativa,Secundaria baja,2020,
Bolivia,Bolivia,Cobertura relativa,Secundaria baja,2021,
Bolivia,Bolivia,Cobertura relativa,Secundaria baja,2022,
Brasil,Brazil,Cobertura absoluta,Primaria,2018,15951913
Brasil,Brazil,Cobertura absoluta,Primaria,2019,15690307
Brasil,Brazil,Cobertura absoluta,Primaria,2020,15366611
Brasil,Brazil,Cobertura absoluta,Primaria,2021,15201414
Brasil,Brazil,Cobertura absoluta,Primaria,2022,
Brasil,Brazil,Cobertura absoluta,Secundaria alta,2018,9523696
Brasil,Brazil,Cobertura absoluta,Secundaria alta,2019,9077330
Brasil,Brazil,Cobertura absoluta,Secundaria alta,2020,9059953
Brasil,Brazil,Cobertura absoluta,Secundaria alta,2021,9272232
Brasil,Brazil,Cobertura absoluta,Secundaria alta,2022,
