Country_destino_ESP,Country_destino_ENG,Country_origen_ESP,Country_origen_ENG,Year,valor
Cuba,Cuba,España,Spain,2000,5917
Cuba,Cuba,Italia,Italy,2000,194
Cuba,Cuba,Rusia,Russia,2000,2342
Cuba,Cuba,Venezuela,Venezuela,2000,176
Cuba,Cuba,Estados Unidos,United States of America,2000,569
Cuba,Cuba,Otros,Otros,2000,6528
Republica-Dominicana,Dominican Republic,Haiti,Haiti,2000,228652
Republica-Dominicana,Dominican Republic,Venezuela,Venezuela,2000,17386
Republica-Dominicana,Dominican Republic,Estados Unidos,United States of America,2000,11133
Republica-Dominicana,Dominican Republic,España,Spain,2000,8982
Republica-Dominicana,Dominican Republic,Puerto Rico,Puerto Rico,2000,10708
Republica-Dominicana,Dominican Republic,Otros,Otros,2000,77306
Costa Rica,Costa Rica,Nicaragua,Nicaragua,2000,230085
Costa Rica,Costa Rica,Venezuela,Venezuela,2000,1054
Costa Rica,Costa Rica,Colombia,Colombia,2000,5995
Costa Rica,Costa Rica,El Salvador,El Salvador,2000,8857
Costa Rica,Costa Rica,Estados Unidos,United States of America,2000,9667
Costa Rica,Costa Rica,Otros,Otros,2000,44683
El Salvador,El Salvador,Honduras,Honduras,2000,9525
El Salvador,El Salvador,Guatemala,Guatemala,2000,6212
El Salvador,El Salvador,Nicaragua,Nicaragua,2000,4545
El Salvador,El Salvador,Estados Unidos,United States of America,2000,4603
El Salvador,El Salvador,México,Mexico,2000,1438
El Salvador,El Salvador,Otros,Otros,2000,5263
Guatemala,Guatemala,El Salvador,El Salvador,2000,12037
Guatemala,Guatemala,México,Mexico,2000,11070
Guatemala,Guatemala,Estados Unidos,United States of America,2000,5456
Guatemala,Guatemala,Nicaragua,Nicaragua,2000,5404
Guatemala,Guatemala,Honduras,Honduras,2000,5295
Guatemala,Guatemala,Otros,Otros,2000,8794
Honduras,Honduras,El Salvador,El Salvador,2000,6574
Honduras,Honduras,Nicaragua,Nicaragua,2000,5768
Honduras,Honduras,Estados Unidos,United States of America,2000,5061
Honduras,Honduras,Guatemala,Guatemala,2000,3421
Honduras,Honduras,México,Mexico,2000,1164
Honduras,Honduras,Otros,Otros,2000,6332
México,Mexico,Estados Unidos,United States of America,2000,358399
México,Mexico,Venezuela,Venezuela,2000,3024
México,Mexico,Guatemala,Guatemala,2000,29156
México,Mexico,Honduras,Honduras,2000,4203
México,Mexico,España,Spain,2000,21334
México,Mexico,Otros,Otros,2000,119996
Nicaragua,Nicaragua,Honduras,Honduras,2000,10017
Nicaragua,Nicaragua,Costa Rica,Costa Rica,2000,6948
Nicaragua,Nicaragua,Estados Unidos,United States of America,2000,3006
Nicaragua,Nicaragua,El Salvador,El Salvador,2000,2102
Nicaragua,Nicaragua,Guatemala,Guatemala,2000,1199
Nicaragua,Nicaragua,Otros,Otros,2000,5791
Panamá,Panama,Venezuela,Venezuela,2000,989
Panamá,Panama,Colombia,Colombia,2000,21473
Panamá,Panama,China,China,2000,11300
Panamá,Panama,Estados Unidos,United States of America,2000,5212
Panamá,Panama,Nicaragua,Nicaragua,2000,4923
Panamá,Panama,Otros,Otros,2000,39015
Argentina,Argentina,Paraguay,Paraguay,2000,315086
Argentina,Argentina,Bolivia,Bolivia,2000,226137
Argentina,Argentina,Chile,Chile,2000,205945
Argentina,Argentina,Peru,Peru,2000,85411
Argentina,Argentina,Venezuela,Venezuela,2000,2600
Argentina,Argentina,Otros,Otros,2000,624570
Bolivia,Bolivia,Argentina,Argentina,2000,28095
Bolivia,Bolivia,Brasil,Brazil,2000,14801
Bolivia,Bolivia,España,Spain,2000,1641
Bolivia,Bolivia,Peru,Peru,2000,9386
Bolivia,Bolivia,México,Mexico,2000,9323
Bolivia,Bolivia,Otros,Otros,2000,28293
Brasil,Brazil,Venezuela,Venezuela,2000,2167
Brasil,Brazil,Portugal,Portugal,2000,213713
Brasil,Brazil,Japón,Japan,2000,71102
Brasil,Brazil,Paraguay,Paraguay,2000,28891
Brasil,Brazil,Bolivia,Bolivia,2000,20437
Brasil,Brazil,Otros,Otros,2000,321303
Chile,Chile,Venezuela,Venezuela,2000,4044
Chile,Chile,Peru,Peru,2000,35460
Chile,Chile,Haiti,Haiti,2000,45
Chile,Chile,Colombia,Colombia,2000,3913
Chile,Chile,Bolivia,Bolivia,2000,10568
Chile,Chile,Otros,Otros,2000,100853
Colombia,Colombia,Venezuela,Venezuela,2000,37200
Colombia,Colombia,Estados Unidos,United States of America,2000,15068
Colombia,Colombia,Ecuador,Ecuador,2000,11964
Colombia,Colombia,España,Spain,2000,5608
Colombia,Colombia,Argentina,Argentina,2000,2582
Colombia,Colombia,Otros,Otros,2000,28046
Ecuador,Ecuador,Venezuela,Venezuela,2000,3691
Ecuador,Ecuador,Colombia,Colombia,2000,71556
Ecuador,Ecuador,Estados Unidos,United States of America,2000,11112
Ecuador,Ecuador,Peru,Peru,2000,5682
Ecuador,Ecuador,Chile,Chile,2000,4702
Ecuador,Ecuador,Otros,Otros,2000,25215
Paraguay,Paraguay,Brasil,Brazil,2000,83208
Paraguay,Paraguay,Argentina,Argentina,2000,64404
Paraguay,Paraguay,Uruguay,Uruguay,2000,3303
Paraguay,Paraguay,Corea del Sur,Republic of Korea,2000,2877
Paraguay,Paraguay,Canadá,Canada,2000,2575
Paraguay,Paraguay,Otros,Otros,2000,15979
Peru,Peru,Venezuela,Venezuela,2000,2362
Peru,Peru,Estados Unidos,United States of America,2000,7188
Peru,Peru,China,China,2000,2981
Peru,Peru,Bolivia,Bolivia,2000,4174
Peru,Peru,Argentina,Argentina,2000,8282
Peru,Peru,Otros,Otros,2000,40344
Uruguay,Uruguay,Argentina,Argentina,2000,21691
Uruguay,Uruguay,España,Spain,2000,24303
Uruguay,Uruguay,Venezuela,Venezuela,2000,659
Uruguay,Uruguay,Brasil,Brazil,2000,11507
Uruguay,Uruguay,Italia,Italy,2000,13403
Uruguay,Uruguay,Otros,Otros,2000,9914
Cuba,Cuba,España,Spain,2005,3449
Cuba,Cuba,Italia,Italy,2005,246
Cuba,Cuba,Rusia,Russia,2005,1563
Cuba,Cuba,Venezuela,Venezuela,2005,206
Cuba,Cuba,Estados Unidos,United States of America,2005,459
Cuba,Cuba,Otros,Otros,2005,4167
Republica-Dominicana,Dominican Republic,Haiti,Haiti,2005,270852
Republica-Dominicana,Dominican Republic,Venezuela,Venezuela,2005,11282
Republica-Dominicana,Dominican Republic,Estados Unidos,United States of America,2005,17831
Republica-Dominicana,Dominican Republic,España,Spain,2005,7852
Republica-Dominicana,Dominican Republic,Puerto Rico,Puerto Rico,2005,8253
Republica-Dominicana,Dominican Republic,Otros,Otros,2005,54641
Costa Rica,Costa Rica,Nicaragua,Nicaragua,2005,268157
Costa Rica,Costa Rica,Venezuela,Venezuela,2005,691
Costa Rica,Costa Rica,Colombia,Colombia,2005,7708
Costa Rica,Costa Rica,El Salvador,El Salvador,2005,6451
Costa Rica,Costa Rica,Estados Unidos,United States of America,2005,6336
Costa Rica,Costa Rica,Otros,Otros,2005,28796
