Country_Name,Cod_Na_UIS,Context_Indicator_Name,EMAC_IND_CONT_COD,Year,Value
Antigua and Barbuda,AG,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,
Antigua and Barbuda,AG,Adolescents out of school (% of lower secondary school age),2,2000,
Antigua and Barbuda,AG,Children out of school (% of primary school age),3,2000,
Antigua and Barbuda,AG,"Children out of school, primary",4,2000,
Antigua and Barbuda,AG,"Compulsory education, duration (years)",5,2000,11
Antigua and Barbuda,AG,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,
Antigua and Barbuda,AG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Antigua and Barbuda,AG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Antigua and Barbuda,AG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Antigua and Barbuda,AG,Expenditure on primary education (% of government expenditure on education),10,2000,
Antigua and Barbuda,AG,Expenditure on secondary education (% of government expenditure on education),11,2000,
Antigua and Barbuda,AG,GDP (current US$),12,2000,826370370.4
Antigua and Barbuda,AG,GDP per capita (current US$),13,2000,11010.19746
Antigua and Barbuda,AG,Gini index,14,2000,
Antigua and Barbuda,AG,"Government expenditure on education, total (% of GDP)",15,2000,
Antigua and Barbuda,AG,"Government expenditure on education, total (% of government expenditure)",16,2000,
Antigua and Barbuda,AG,"Government expenditure per student, primary (% of GDP per capita)",17,2000,
Antigua and Barbuda,AG,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,
Antigua and Barbuda,AG,International migrant stock (% of population),19,2000,29.71229137
Antigua and Barbuda,AG,"International migrant stock, total",20,2000,23071
Antigua and Barbuda,AG,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,
Antigua and Barbuda,AG,"Literacy rate, youth total (% of people ages 15-24)",22,2000,
Antigua and Barbuda,AG,Net migration,23,2000,271
Antigua and Barbuda,AG,"Over-age students, primary (% of enrollment)",24,2000,
Antigua and Barbuda,AG,"Population ages 0-14, female",25,2000,10529
