pais,country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua y Barbuda,Antigua and Barbuda,,,,,,,,,,,
Argentina,Argentina,,,,,,,,,,,
Aruba,Aruba,61,,,,,,,,,,
Bahamas,"Bahamas, The",89,,,,,,,,,,
Barbados,Barbados,,,,,,,,,,,
Belice,Belize,84,,,,,,,,,,52
Bermudas,Bermuda,,,,,,,,,,,
Bolivia,Bolivia,,,52,,,65,,,,95,
Brasil,Brazil,51,54,55,56,56,58,58,59,60,,
Islas Vírgenes Británicas,British Virgin Islands,,,,,,,,,,,
Islas Caimán,Cayman Islands,,,,,95,95,,,,,
Chile,Chile,75,73,,76,,79,,80,,,
Colombia,Colombia,44,45,46,48,49,50,52,,54,56,58
Costa Rica,Costa Rica,49,50,51,,55,53,53,,55,,55
Cuba,Cuba,,,81,,,,,,,,
Curazao,Curacao,,,,,,,,,,,90
Dominica,Dominica,,,,,,,,,,,
República Dominicana,Dominican Republic,53,54,54,55,56,57,67,,,,
Ecuador,Ecuador,45,45,47,48,49,52,52,53,,,53
El Salvador,El Salvador,42,39,40,41,,,43,43,,47,
Granada,Grenada,,,,,,,,,,,
Guatemala,Guatemala,,,24,25,,,,,,32,
Guyana,Guyana,,,,,,,,,,,
Haití,Haiti,,,,,,,,,,,
Honduras,Honduras,,28,27,,32,32,34,,31,40,
Jamaica,Jamaica,,61,,,,,,,,,
México,Mexico,53,,58,57,57,60,60,61,63,,66
Nicaragua,Nicaragua,,,,,,,,,,,
Panamá,Panama,61,,,,,,,,,69,
Paraguay,Paraguay,,,43,47,47,49,48,,50,53,53
Perú,Peru,59,60,61,62,62,62,,,64,,
Puerto Rico,Puerto Rico,,80,80,,,,,88,,,
San Martín (Países Bajos),Sint Maarten (Dutch part),,,,,,,,,,,
San Cristóbal y Nieves,St. Kitts and Nevis,,,,,,,,,,,
Santa Lucía,St. Lucia,47,,,46,,,,,,47,
San Martín (Francia),St. Martin (French part),,,,,,,,,,,
San Vicente y las Granadinas,St. Vincent and the Grenadines,,,,,,,,42,,,
Surinam,Suriname,,,62,,,,,,,,
Trinidad y Tobago,Trinidad and Tobago,,67,,,,,,,,,
Islas Turcas y Caicos,Turks and Caicos Islands,,,,,,,,,,,
Uruguay,Uruguay,49,51,52,52,53,54,55,56,57,58,
"Venezuela, RB","Venezuela, RB",,65,,,,70,74,,,,
Islas Vírgenes (EE.UU.),Virgin Islands (U.S.),,,,,,,,,,,
